FormName,FormFreq,Username,"Over the last week, or since you last completed this question, please provide reflections about any misunderstandings you have experienced in the workplace, why you think they occurred, and how you think they were (or could be) successfully resolved? (please remember not to use real names of people you work with)","Over the last week, or since you last completed this question, please provide reflections about any successes you have experienced in the workplace? (please remember not to use real names of people you work with)","Please describe any adjustments (i.e. physcial changes to your workspace, management changes to the processes for completing tasks, or logistical changes to working hours or transport to work)","If you have encountered any stories about autism in the media, could you describe them and its impact on you?",Any other reflections that you would like to share? (please remember not to use real names of people you work with),Date,ID
Autistica - Adjustments,7,14567809,My manager sucks,I was successful in factoring in enough time to arrive at meetings without feeling flushed,What has really helped is: A team culture of not eating lunch at desks,I read a newspaper article about: superior focus,I think there should be better pathways to requesting adjustments,02/28/2019,560
Autistica - Adjustments,7,53779464,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I haven’t had any success,Examples of good adjustments include: Avoiding physical contact if requested (e.g. no handshakes),My friend told me about another friend who said that:  difficulty in switching between tasks,I think there has been enough research on younger populations,02/28/2019,561
Autistica - Adjustments,7,97777931,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",I was able to use text instead of speech to interact in the meeting,Here are some things that have helped Minimising phone-call meetings,I read a newspaper article about: superior focus,I think there should be more research in to employment opportunities,02/28/2019,562
Autistica - Adjustments,7,99713717,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I ate less gluten which is harder than it sounds,"Examples of good adjustments include: Online access to further information about sources of support for job role, mental health and wellbeing",My friend told me about another friend who said that:  difficulty in switching between tasks,I would like to upgrade this app,02/28/2019,563
Autistica - Adjustments,7,93466703,Communication is not happening the way I have requested,I enjoyed my work this week,Here are some things that have helped Work away from fire doors (which slam shut),My friend told me about another friend who said that:  excellent autistic creativity,Not sure what to say,02/28/2019,564
Autistica - Adjustments,7,37419497,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I was successufl in extending my contract,I have requested this: Written questions for job interviews and circulated ahead of time,My friend told me about another friend who said that:  excellent autistic creativity,Visualisations are nice,02/28/2019,565
Autistica - Adjustments,7,35358065,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I was successful in meeting my deadlines,I have tried the following: Frequent feedback,I saw a story about a: low income and employment for autistic people,Nope,02/28/2019,566
Autistica - Adjustments,7,86131995,I'm always asked to shake hands of clients but I don’t like to touch other people,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,I have tried the following: Repositioning of desk (e.g. in corner to avoid being startled),I read a newspaper article about: excellent autistic creativity,I think there should be better pathways to requesting adjustments,02/28/2019,567
Autistica - Adjustments,7,57180656,I love my manager's work ethic because they get the best out of me but I don’t like to be made the centre of attention when I am successful,It's so frustrating because I feel that I am close to success but it never really happens,Examples of good adjustments include: Small desk lap (since main lamp to bright),My friend told me about another friend who said that:  a mathematic genius,Really enjoying this app,02/28/2019,568
Autistica - Adjustments,7,62929404,My manager often criticises me,I have more confidence in meetings,What has really helped is: Access to senior mentoring,I saw a story about a: a mathematic genius,Visualisations are nice,02/28/2019,569
